Category,Message Code,Severity,Message Text,Message Description,Local Target Format,Remote Target Format
Administrative and Operational Audit,60180,WARN,Syslog server Identity check failed,"Syslog server Identity check failed, Secure communication not established with syslog server","<timestamp> <seq_num> 60180 WARN System-Management: Syslog server Identity check failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60180
                                 WARN System-Management: Syslog server Identity check failed, <log details>"
Administrative and Operational Audit,60184,INFO,A console CLI user has successfully logged in,A console CLI User has successfully logged in,"<timestamp> <seq_num> 60184 INFO Administrator-Login: A console CLI user has successfully logged in, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60184
                                 INFO Administrator-Login: A console CLI user has successfully logged in, <log details>"
Administrative and Operational Audit,60184,INFO,A console CLI user has successfully logged in,A console CLI User has successfully logged in,"<timestamp> <seq_num> 60184 INFO Administrator-Login: A console CLI user has successfully logged in, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60184
                                 INFO Administrator-Login: A console CLI user has successfully logged in, <log details>"
Administrative and Operational Audit,60185,INFO,A console CLI user has attempted unsuccessfully to login,A console CLI user has attempted unsuccessfully to login,"<timestamp> <seq_num> 60185 INFO Administrator-Login: A console CLI user has attempted unsuccessfully to login, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60185
                                 INFO Administrator-Login: A console CLI user has attempted unsuccessfully to login, <log details>"
Administrative and Operational Audit,60185,INFO,A console CLI user has attempted unsuccessfully to login,A console CLI user has attempted unsuccessfully to login,"<timestamp> <seq_num> 60185 INFO Administrator-Login: A console CLI user has attempted unsuccessfully to login, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60185
                                 INFO Administrator-Login: A console CLI user has attempted unsuccessfully to login, <log details>"
Administrative and Operational Audit,60186,INFO,"A console CLI user has attempted to login, however account is locked out","A console CLI user has attempted to login, however account is locked out","<timestamp> <seq_num> 60186 INFO Administrator-Login: A console CLI user has attempted to login, however account is locked
                                 out, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60186
                                 INFO Administrator-Login: A console CLI user has attempted to login, however account is locked out, <log details>"
Administrative and Operational Audit,60186,INFO,"A console CLI user has attempted to login, however account is locked out","A console CLI user has attempted to login, however account is locked out","<timestamp> <seq_num> 60186 INFO Administrator-Login: A console CLI user has attempted to login, however account is locked
                                 out, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60186
                                 INFO Administrator-Login: A console CLI user has attempted to login, however account is locked out, <log details>"
Administrative and Operational Audit,60187,INFO,Application upgrade succeeded,Application upgrade succeeded,"<timestamp> <seq_num> 60187 INFO System-Management: Application upgrade succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60187
                                 INFO System-Management: Application upgrade succeeded, <log details>"
Administrative and Operational Audit,60187,INFO,Application upgrade succeeded,Application upgrade succeeded,"<timestamp> <seq_num> 60187 INFO System-Management: Application upgrade succeeded, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60187
                                 INFO System-Management: Application upgrade succeeded, <log details>"
Administrative and Operational Audit,60188,INFO,An attempted SSH connection has failed,An attempted SSH connection has failed,"<timestamp> <seq_num> 60188 INFO Administrator-Login: An attempted SSH connection has failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60188
                                 INFO Administrator-Login: An attempted SSH connection has failed, <log details>"
Administrative and Operational Audit,60188,INFO,An attempted SSH connection has failed,An attempted SSH connection has failed,"<timestamp> <seq_num> 60188 INFO Administrator-Login: An attempted SSH connection has failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60188
                                 INFO Administrator-Login: An attempted SSH connection has failed, <log details>"
Administrative and Operational Audit,60189,INFO,Terminal Session timeout has been modified,Configuration change occurred for ADEOS CLI Terminal Session timeout,"<timestamp> <seq_num> 60189 INFO System-Management: Terminal Session timeout has been modified, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60189
                                 INFO System-Management: Terminal Session timeout has been modified, <log details>"
Administrative and Operational Audit,60189,INFO,Terminal Session timeout has been modified,Configuration change occurred for ADEOS CLI Terminal Session timeout,"<timestamp> <seq_num> 60189 INFO System-Management: Terminal Session timeout has been modified, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60189
                                 INFO System-Management: Terminal Session timeout has been modified, <log details>"
Administrative and Operational Audit,60190,INFO,xGrid Administrator Action,xGrid Administrator Action,"<timestamp> <seq_num> 60190 INFO System-Management: xGrid Administrator Action, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60190
                                 INFO System-Management: xGrid Administrator Action, <log details>"
Administrative and Operational Audit,60190,INFO,xGrid Administrator Action,xGrid Administrator Action,"<timestamp> <seq_num> 60190 INFO System-Management: xGrid Administrator Action, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60190
                                 INFO System-Management: xGrid Administrator Action, <log details>"
Administrative and Operational Audit,60191,ERROR,Insufficient Virtual Machine Resources on node,Insufficient Virtual Machine Resources on node,"<timestamp> <seq_num> 60191 ERROR System-Management: Insufficient Virtual Machine Resources on node, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60191
                                 ERROR System-Management: Insufficient Virtual Machine Resources on node, <log details>"
Administrative and Operational Audit,60191,ERROR,Insufficient Virtual Machine Resources on node,Insufficient Virtual Machine Resources on node,"<timestamp> <seq_num> 60191 ERROR System-Management: Insufficient Virtual Machine Resources on node, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60191
                                 ERROR System-Management: Insufficient Virtual Machine Resources on node, <log details>"
Administrative and Operational Audit,60192,ERROR,Firmware update required on node,Firmware update required on node,"<timestamp> <seq_num> 60192 ERROR System-Management: Firmware update required on node, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60192
                                 ERROR System-Management: Firmware update required on node, <log details>"
Administrative and Operational Audit,60192,ERROR,Firmware update required on node,Firmware update required on node,"<timestamp> <seq_num> 60192 ERROR System-Management: Firmware update required on node, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60192
                                 ERROR System-Management: Firmware update required on node, <log details>"
Administrative and Operational Audit,60193,INFO,RSA key configuration has been modified,Configuration change occurred for ADEOS CLI RSA key,"<timestamp> <seq_num> 60193 INFO System-Management: RSA key configuration has been modified, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60193
                                 INFO System-Management: RSA key configuration has been modified, <log details>"
Administrative and Operational Audit,60193,INFO,RSA key configuration has been modified,Configuration change occurred for ADEOS CLI RSA key,"<timestamp> <seq_num> 60193 INFO System-Management: RSA key configuration has been modified, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60193
                                 INFO System-Management: RSA key configuration has been modified, <log details>"
Administrative and Operational Audit,60194,INFO,Host key configuration has been modified,Configuration change occurred for ADEOS CLI host key,"<timestamp> <seq_num> 60194 INFO System-Management: Host key configuration has been modified, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60194
                                 INFO System-Management: Host key configuration has been modified, <log details>"
Administrative and Operational Audit,60194,INFO,Host key configuration has been modified,Configuration change occurred for ADEOS CLI host key,"<timestamp> <seq_num> 60194 INFO System-Management: Host key configuration has been modified, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60194
                                 INFO System-Management: Host key configuration has been modified, <log details>"
Administrative and Operational Audit,60195,INFO,CA Service started,CA Service started,"<timestamp> <seq_num> 60195 INFO CA-Service: CA Service started, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60195
                                 INFO CA-Service: CA Service started, <log details>"
Administrative and Operational Audit,60195,INFO,CA Service started,CA Service started,"<timestamp> <seq_num> 60195 INFO CA-Service: CA Service started, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60195
                                 INFO CA-Service: CA Service started, <log details>"
Administrative and Operational Audit,60196,INFO,CA Service stopped,CA Service stopped,"<timestamp> <seq_num> 60196 INFO CA-Service: CA Service stopped, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60196
                                 INFO CA-Service: CA Service stopped, <log details>"
Administrative and Operational Audit,60196,INFO,CA Service stopped,CA Service stopped,"<timestamp> <seq_num> 60196 INFO CA-Service: CA Service stopped, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60196
                                 INFO CA-Service: CA Service stopped, <log details>"
Administrative and Operational Audit,60197,NOTICE,Revoked ISE CA issued Certificate.,Certificate issued to Endpoint by ISE CA is revoked by Administrator,"<timestamp> <seq_num> 60197 NOTICE CA-Service: Revoked ISE CA issued Certificate., <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60197
                                 NOTICE CA-Service: Revoked ISE CA issued Certificate., <log details>"
Administrative and Operational Audit,60197,NOTICE,Revoked ISE CA issued Certificate.,Certificate issued to Endpoint by ISE CA is revoked by Administrator,"<timestamp> <seq_num> 60197 NOTICE CA-Service: Revoked ISE CA issued Certificate., <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60197
                                 NOTICE CA-Service: Revoked ISE CA issued Certificate., <log details>"
Administrative and Operational Audit,60198,INFO,MnT purge event occurred,MnT purge event occurred,"<timestamp> <seq_num> 60198 INFO System-Management: MnT purge event occurred, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60198
                                 INFO System-Management: MnT purge event occurred, <log details>"
Administrative and Operational Audit,60198,INFO,MnT purge event occurred,MnT purge event occurred,"<timestamp> <seq_num> 60198 INFO System-Management: MnT purge event occurred, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60198
                                 INFO System-Management: MnT purge event occurred, <log details>"
Administrative and Operational Audit,60199,INFO,An IP-SGT mapping was deployed successfully,An IP-SGT mapping was deployed successfully to a TrustSec device,"<timestamp> <seq_num> 60199 INFO TrustSec: An IP-SGT mapping was deployed successfully, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60199
                                 INFO TrustSec: An IP-SGT mapping was deployed successfully, <log details>"
Administrative and Operational Audit,60199,INFO,An IP-SGT mapping was deployed successfully,An IP-SGT mapping was deployed successfully to a TrustSec device,"<timestamp> <seq_num> 60199 INFO TrustSec: An IP-SGT mapping was deployed successfully, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60199
                                 INFO TrustSec: An IP-SGT mapping was deployed successfully, <log details>"
Administrative and Operational Audit,60200,INFO,An IP-SGT mapping has failed deploying,An IP-SGT mapping has failed deploying to a TrustSec device,"<timestamp> <seq_num> 60200 INFO TrustSec: An IP-SGT mapping has failed deploying, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60200
                                 INFO TrustSec: An IP-SGT mapping has failed deploying, <log details>"
Administrative and Operational Audit,60200,INFO,An IP-SGT mapping has failed deploying,An IP-SGT mapping has failed deploying to a TrustSec device,"<timestamp> <seq_num> 60200 INFO TrustSec: An IP-SGT mapping has failed deploying, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60200
                                 INFO TrustSec: An IP-SGT mapping has failed deploying, <log details>"
Administrative and Operational Audit,60201,INFO,IP-SGT deployment to TrustSec device was successful,IP-SGT deployment to TrustSec device was successful,"<timestamp> <seq_num> 60201 INFO TrustSec: IP-SGT deployment to TrustSec device was successful, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60201
                                 INFO TrustSec: IP-SGT deployment to TrustSec device was successful, <log details>"
Administrative and Operational Audit,60201,INFO,IP-SGT deployment to TrustSec device was successful,IP-SGT deployment to TrustSec device was successful,"<timestamp> <seq_num> 60201 INFO TrustSec: IP-SGT deployment to TrustSec device was successful, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60201
                                 INFO TrustSec: IP-SGT deployment to TrustSec device was successful, <log details>"
Administrative and Operational Audit,60202,INFO,IP-SGT deployment to TrustSec device failed,IP-SGT deployment to TrustSec device failed,"<timestamp> <seq_num> 60202 INFO TrustSec: IP-SGT deployment to TrustSec device failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60202
                                 INFO TrustSec: IP-SGT deployment to TrustSec device failed, <log details>"
Administrative and Operational Audit,60202,INFO,IP-SGT deployment to TrustSec device failed,IP-SGT deployment to TrustSec device failed,"<timestamp> <seq_num> 60202 INFO TrustSec: IP-SGT deployment to TrustSec device failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60202
                                 INFO TrustSec: IP-SGT deployment to TrustSec device failed, <log details>"
Administrative and Operational Audit,60203,INFO,IP-SGT deployment to the TrustSec devices finished,IP-SGT deployment to the TrustSec devices finished,"<timestamp> <seq_num> 60203 INFO TrustSec: IP-SGT deployment to the TrustSec devices finished, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60203
                                 INFO TrustSec: IP-SGT deployment to the TrustSec devices finished, <log details>"
Administrative and Operational Audit,60203,INFO,IP-SGT deployment to the TrustSec devices finished,IP-SGT deployment to the TrustSec devices finished,"<timestamp> <seq_num> 60203 INFO TrustSec: IP-SGT deployment to the TrustSec devices finished, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60203
                                 INFO TrustSec: IP-SGT deployment to the TrustSec devices finished, <log details>"
Administrative and Operational Audit,60204,INFO,System root CLI account has successfully logged in,System root CLI account has successfully logged in,"<timestamp> <seq_num> 60204 INFO System-Management: System root CLI account has successfully logged in, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60204
                                 INFO System-Management: System root CLI account has successfully logged in, <log details>"
Administrative and Operational Audit,60204,INFO,System root CLI account has successfully logged in,System root CLI account has successfully logged in,"<timestamp> <seq_num> 60204 INFO System-Management: System root CLI account has successfully logged in, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60204
                                 INFO System-Management: System root CLI account has successfully logged in, <log details>"
Administrative and Operational Audit,60205,INFO,A CLI user has logged in from console,A CLI user has logged in from console,"<timestamp> <seq_num> 60205 INFO Administrator-Login: A CLI user has logged in from console, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60205
                                 INFO Administrator-Login: A CLI user has logged in from console, <log details>"
Administrative and Operational Audit,60205,INFO,A CLI user has logged in from console,A CLI user has logged in from console,"<timestamp> <seq_num> 60205 INFO Administrator-Login: A CLI user has logged in from console, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60205
                                 INFO Administrator-Login: A CLI user has logged in from console, <log details>"
Administrative and Operational Audit,60206,INFO,A CLI user has logged out from console,A CLI user has logged out from console,"<timestamp> <seq_num> 60206 INFO Administrator-Login: A CLI user has logged out from console, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60206
                                 INFO Administrator-Login: A CLI user has logged out from console, <log details>"
Administrative and Operational Audit,60206,INFO,A CLI user has logged out from console,A CLI user has logged out from console,"<timestamp> <seq_num> 60206 INFO Administrator-Login: A CLI user has logged out from console, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60206
                                 INFO Administrator-Login: A CLI user has logged out from console, <log details>"
Administrative and Operational Audit,60207,INFO,logging loglevel configuration has been modified,Configuration change occurred for ADEOS CLI logging loglevel,"<timestamp> <seq_num> 60207 INFO System-Management: logging loglevel configuration has been modified, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60207
                                 INFO System-Management: logging loglevel configuration has been modified, <log details>"
Administrative and Operational Audit,60207,INFO,logging loglevel configuration has been modified,Configuration change occurred for ADEOS CLI logging loglevel,"<timestamp> <seq_num> 60207 INFO System-Management: logging loglevel configuration has been modified, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60207
                                 INFO System-Management: logging loglevel configuration has been modified, <log details>"
Administrative and Operational Audit,60208,INFO,Root CA certificate has been replaced,Root CA certificate has been replaced,"<timestamp> <seq_num> 60208 INFO System-Management: Root CA certificate has been replaced, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60208
                                 INFO System-Management: Root CA certificate has been replaced, <log details>"
Administrative and Operational Audit,60208,INFO,Root CA certificate has been replaced,Root CA certificate has been replaced,"<timestamp> <seq_num> 60208 INFO System-Management: Root CA certificate has been replaced, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60208
                                 INFO System-Management: Root CA certificate has been replaced, <log details>"
Administrative and Operational Audit,60209,INFO,CA service enabled,CA service enabled,"<timestamp> <seq_num> 60209 INFO System-Management: CA service enabled, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60209
                                 INFO System-Management: CA service enabled, <log details>"
Administrative and Operational Audit,60209,INFO,CA service enabled,CA service enabled,"<timestamp> <seq_num> 60209 INFO System-Management: CA service enabled, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60209
                                 INFO System-Management: CA service enabled, <log details>"
Administrative and Operational Audit,60210,INFO,CA service disabled,CA service disabled,"<timestamp> <seq_num> 60210 INFO System-Management: CA service disabled, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60210
                                 INFO System-Management: CA service disabled, <log details>"
Administrative and Operational Audit,60210,INFO,CA service disabled,CA service disabled,"<timestamp> <seq_num> 60210 INFO System-Management: CA service disabled, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60210
                                 INFO System-Management: CA service disabled, <log details>"
Administrative and Operational Audit,60211,INFO,ISE acquired subordinate certificate authority from 3rd party CA server,ISE acquired subordinate certificate authority from 3rd party CA server,"<timestamp> <seq_num> 60211 INFO System-Management: ISE acquired subordinate certificate authority from 3rd party CA server,
                                 <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60211
                                 INFO System-Management: ISE acquired subordinate certificate authority from 3rd party CA server, <log details>"
Administrative and Operational Audit,60211,INFO,ISE acquired subordinate certificate authority from 3rd party CA server,ISE acquired subordinate certificate authority from 3rd party CA server,"<timestamp> <seq_num> 60211 INFO System-Management: ISE acquired subordinate certificate authority from 3rd party CA server,
                                 <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60211
                                 INFO System-Management: ISE acquired subordinate certificate authority from 3rd party CA server, <log details>"
Administrative and Operational Audit,60212,WARNING,Portal could not start on this node since Certificate tag is missing,Portal could not start on this node since Certificate tag is missing,"<timestamp> <seq_num> 60212 WARNING System-Management: Portal could not start on this node since Certificate tag is missing,
                                 <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60212
                                 WARNING System-Management: Portal could not start on this node since Certificate tag is missing, <log details>"
Administrative and Operational Audit,60212,WARNING,Portal could not start on this node since Certificate tag is missing,Portal could not start on this node since Certificate tag is missing,"<timestamp> <seq_num> 60212 WARNING System-Management: Portal could not start on this node since Certificate tag is missing,
                                 <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60212
                                 WARNING System-Management: Portal could not start on this node since Certificate tag is missing, <log details>"
Administrative and Operational Audit,60213,INFO,CA keys were replaced by import operation,CA keys were replaced by import operation,"<timestamp> <seq_num> 60213 INFO System-Management: CA keys were replaced by import operation, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60213
                                 INFO System-Management: CA keys were replaced by import operation, <log details>"
Administrative and Operational Audit,60213,INFO,CA keys were replaced by import operation,CA keys were replaced by import operation,"<timestamp> <seq_num> 60213 INFO System-Management: CA keys were replaced by import operation, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60213
                                 INFO System-Management: CA keys were replaced by import operation, <log details>"
Administrative and Operational Audit,60214,INFO,CA keys were exported,CA keys were exported,"<timestamp> <seq_num> 60214 INFO System-Management: CA keys were exported, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60214
                                 INFO System-Management: CA keys were exported, <log details>"
Administrative and Operational Audit,60214,INFO,CA keys were exported,CA keys were exported,"<timestamp> <seq_num> 60214 INFO System-Management: CA keys were exported, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60214
                                 INFO System-Management: CA keys were exported, <log details>"
Administrative and Operational Audit,60215,INFO,Endpoint certs were marked expired,Endpoint certs were marked expired by daily scheduled job,"<timestamp> <seq_num> 60215 INFO CA-Service: Endpoint certs were marked expired, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60215
                                 INFO CA-Service: Endpoint certs were marked expired, <log details>"
Administrative and Operational Audit,60215,INFO,Endpoint certs were marked expired,Endpoint certs were marked expired by daily scheduled job,"<timestamp> <seq_num> 60215 INFO CA-Service: Endpoint certs were marked expired, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60215
                                 INFO CA-Service: Endpoint certs were marked expired, <log details>"
Administrative and Operational Audit,60216,INFO,Endpoint certs were purged,Endpoint certs were purged by daily scheduled job,"<timestamp> <seq_num> 60216 INFO CA-Service: Endpoint certs were purged, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60216
                                 INFO CA-Service: Endpoint certs were purged, <log details>"
Administrative and Operational Audit,60216,INFO,Endpoint certs were purged,Endpoint certs were purged by daily scheduled job,"<timestamp> <seq_num> 60216 INFO CA-Service: Endpoint certs were purged, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60216
                                 INFO CA-Service: Endpoint certs were purged, <log details>"
Administrative and Operational Audit,60217,WARN,Certificate replication failed and will be retried,"The PAP failed to push a replicated certificate, such as a wildcard certificate, to a secondary node","<timestamp> <seq_num> 60217 WARN Replication: Certificate replication failed and will be retried, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60217
                                 WARN Replication: Certificate replication failed and will be retried, <log details>"
Administrative and Operational Audit,60217,WARN,Certificate replication failed and will be retried,"The PAP failed to push a replicated certificate, such as a wildcard certificate, to a secondary node","<timestamp> <seq_num> 60217 WARN Replication: Certificate replication failed and will be retried, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60217
                                 WARN Replication: Certificate replication failed and will be retried, <log details>"
Administrative and Operational Audit,60218,WARN,Certificate replication failed,"The PAP failed to push a replicated certificate, such as a wildcard certificate, to a secondary node","<timestamp> <seq_num> 60218 WARN Replication: Certificate replication failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60218
                                 WARN Replication: Certificate replication failed, <log details>"
Administrative and Operational Audit,60218,WARN,Certificate replication failed,"The PAP failed to push a replicated certificate, such as a wildcard certificate, to a secondary node","<timestamp> <seq_num> 60218 WARN Replication: Certificate replication failed, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60218
                                 WARN Replication: Certificate replication failed, <log details>"
Administrative and Operational Audit,60219,WARN,Administration Node has not received any PAN HA monitoring request from monitoring node,Administration Node has not received any PAN HA monitoring request from monitoring node,"<timestamp> <seq_num> 60219 WARN Distributed-Management: Administration Node has not received any PAN HA monitoring request
                                 from monitoring node, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60219
                                 WARN Distributed-Management: Administration Node has not received any PAN HA monitoring request from monitoring node, <log
                                 details>"
Administrative and Operational Audit,60219,WARN,Administration Node has not received any PAN HA monitoring request from monitoring node,Administration Node has not received any PAN HA monitoring request from monitoring node,"<timestamp> <seq_num> 60219 WARN Distributed-Management: Administration Node has not received any PAN HA monitoring request
                                 from monitoring node, <log details>","<pri_num> <timestamp> <IP address/hostname> <CISE_logging category> <msg_id> <total seg> <seg num><timestamp> <seq_num> 60219
                                 WARN Distributed-Management: Administration Node has not received any PAN HA monitoring request from monitoring node, <log
                                 details>"
